100037417	+24308025	4398046511104	1
10003	+89866817	8192	1
10010	+161992465	549755813888	1
100113407	+11537459	8192	1
100128553	+143879547	65536	1
100128569	+3538154	16384	1
100128927	+105266517	81129638414606681695789005144064	1
100129250	+32550428	10141204801825835211973625643008	1
100129278	+21345857	4	1
100129361	+11322779	36028797018963968	1
100129407	+72157002	8388608	1
100129543	+23298776	1024	1
100129583	+77134192	5070602400912917605986812821504	1
100129697	+89005444	17179869184	1
100129924	+43252660	162259276829213363391578010288128	1
100130311	+4801947	34359738368	1
100130539	+44787197	16384	1
100130733	+61873561	72057594037927936	1
100130742	+92113846	281474976710656	1
100130880	+137637093	10141204801825835211973625643008	1
100130933	+73641645	18889465931478580854784	1
100130958	+77232293	70368744177664	1
100130967	+159289898	2417851639229258349412352	1
100131017	+6675952	10141204801825835211973625643008	1
100131094	+4678293	8192	1
100131801	+7693670	9007199254740992	1
100132813	+110655343	4294967296	1
100132911	+61474917	10141204801825835211973625643008	1
10013	+48659103	1125899906842624	1
100134934	+73974297	34359738368	1
100137049	+42130010	10141204801825835211973625643008	1
100141515	+76141433	10141204801825835211973625643008	1
10015	+33839062	549755813888	1
10016	+270735	4096	1
100170765	+41948062	9007199254740992	1
10018	+111877490	34359738368	1
100190949	+157097560	35184372088832	1
10019	+111842751	18889465931478580854784	1
10023	+99078021	34359738368	1
10024	+49715970	9007199254740992	1
100287036	+89386540	144115188075855872	1
100287896	+74203429	38685626227668133590597632	1
100288695	+110655008	4398046511104	1
100288797	+2795947	8388608	1
100289561	+102003265	10141204801825835211973625643008	1
100289678	+148958261	10141204801825835211973625643008	1
100293516	+58340661	9007199254740992	1
100303755	+18117498	70368744177664	1
10036	+4401659	65536	1
1003	+66399509	2361183241434822606848	1
10038	+20810772	70368744177664	1
10039	+51975320	16384	1
10040	+52977051	5070602400912917605986812821504	1
10042	+35652444	8388608	1
10043	+35694532	17179869184	1
10046	+149530544	34359738368	1
100463289	+57357749	16384	1
10047	+23470737	65536	1
10049	+157128710	34359738368	1
100499483	+100068776	8192	1
10050	+25753926	35184372088832	1
100505549	+55296533	1024	1
100505741	+84970983	17179869184	1
100505876	+37422603	18014398509481984	1
100506127	+76091346	34359738368	1
100506243	+42976833	4294967296	1
100506422	+26065672	18889465931478580854784	1
100506650	+51061879	32	1
100506658	+68787354	34359738368	1
100507050	+74950949	1024	1
100507203	+131147544	2361183241434822606848	1
100507290	+56123958	18889465931478580854784	1
100507421	+140773031	2361183241434822606848	1
100507436	+31366560	16384	1
100507650	+23706126	8192	1
100507679	+30972728	75557863725914323419136	1
10051	+160116719	1048576	1
100526693	+9833231	604462909807314587353088	1
100526694	+103203187	18889465931478580854784	1
100526737	+66383052	1125899906842624	1
100526739	+10489481	618970019642690137449562112	1
100526760	+52008041	70368744177664	1
100526832	+170549940	9007199254740992	1
100526835	+74662895	17179869184	1
100527943	+35201956	4096	1
100527949	+150412644	37778931862957161709568	1
100527963	+156181778	34359738368	1
100527978	+95582478	1048576	1
100529097	+100644877	40564819207303340847894502572032	1
100529215	+9434136	2048	1
100529241	+198363720	1073741824	1
100529251	+66585465	18889465931478580854784	1
100529261	+65380078	618970019642690137449562112	1
100532731	+22604311	1048576	1
100532736	+19922470	10141204801825835211973625643008	1
100533105	+67578786	34359738368	1
100533183	+124456730	10141204801825835211973625643008	1
100533467	+103458495	16384	1
100533952	+5084451	17179869184	1
100534012	+151128104	40564819207303340847894502572032	1
10055	+47633079	2	1
1005	+63416687	37778931862957161709568	1
10059	+32831133	590295810358705651712	1
10062	+47269149	162259276829213363391578010288128	1
10068	+71709465	17179869184	1
10072	+66246483	2097152	1
10076	+29562027	70368744177664	1
10077	+2322242	17179869184	1
10078	+2420982	131072	1
10082	+93878060	1180591620717411303424	1
10084	+48754484	8388608	1
10090	+149067270	4	1
10093	+9833489	604462909807314587353088	1
10095	+98971297	618970019642690137449562112	1
10096	+114646842	38685626227668133590597632	1
10097	+65453828	2097152	1
100996928	+139024877	4096	1
10101	+1831923	162259276829213363391578010288128	1
10102	+58175527	1048576	1
10103	+46639748	162259276829213363391578010288128	1
10105	+81106219	4194304	1
101059915	+70886551	2048	1
101060211	+134846385	9007199254740992	1
10109	+219080968	38685626227668133590597632	1
10110	+42186634	590295810358705651712	1
10111	+131891615	9007199254740992	1
10112	+137513416	1073741824	1
10114	+33278047	1073741824	1
10116	+68569140	2251799813685248	1
10124	+12725681	162259276829213363391578010288128	1
10127	+3332486	18889465931478580854784	1
1012	+82659398	2361183241434822606848	1
10129	+32604436	16384	1
10133	+13141081	281474976710656	1
10136	+22327148	512	1
1013	+89237162	162259276829213363391578010288128	1
