8775	-48019015	388701	-154179341	0.2
63931	-174993091	254863	-7307950	0.2
63931	-174993091	115294	-52812246	0.25
63931	-174993091	112	-49183379	0.25
10113	-27358043	10001	-71067907	0.333333
2938	-52669265	219402	-28025033	0.25
2938	-52669265	140432	-98830021	1
2938	-52669265	152586	-141420031	1
2938	-52669265	116071	-64758249	0.333333
2938	-52669265	25937	-149443075	1
2938	-52669265	100529239	-34394402	1
2938	-52669265	1412	-219858627	1
2938	-52669265	283316	-7597281	1
2938	-52669265	201625	-57530571	1
2938	-52669265	197021	-66858576	0.5
2938	-52669265	266	-6742568	1
2938	-52669265	203430	-77915325	0.5
2938	-52669265	26137	-114343923	0.25
2938	-52669265	2235	-55254469	0.333333
2938	-52669265	1962	-184972386	1
2938	-52669265	23428	-23625167	1
2938	-52669265	116447	-144417561	0.333333
2938	-52669265	159963	-26744074	1
2938	-52669265	2176	-98080264	0.25
2938	-52669265	26225	-152685509	0.25
2938	-52669265	11337	-7146253	0.25
2938	-52669265	257	-110613822	1
2938	-52669265	10434	-55014846	0.2
6293	-33240242	5425	-44163638	0.333333
6293	-33240242	27097	-229762294	0.5
6293	-33240242	11331	-7080416	0.2
6293	-33240242	400720	-57989438	0.2
6293	-33240242	444	-62627699	0.333333
6293	-33240242	2287	-45604232	1
6293	-33240242	10224	-12552426	0.2
6293	-33240242	10447	-121036922	0.25
6293	-33240242	23126	-151432441	0.25
6293	-33240242	163259	-115213232	0.2
6293	-33240242	55552	-11850324	0.333333
6293	-33240242	10717	-114448146	0.2
6293	-33240242	51734	-1993827	0.25
6293	-33240242	25973	-55230726	0.25
6293	-33240242	55062	-66454165	0.2
6293	-33240242	374882	-11457481	0.25
6293	-33240242	51562	-36790382	0.333333
6293	-33240242	27434	-44122639	0.25
6293	-33240242	55813	-30229229	0.25
6293	-33240242	162972	-58071731	1
6293	-33240242	57804	-67121567	0.333333
6293	-33240242	10469	-8009208	0.333333
6293	-33240242	147837	-12445034	0.25
6293	-33240242	254065	-80065733	0.333333
6293	-33240242	55108	-32860562	0.333333
6293	-33240242	11113	-120315595	0.333333
6293	-33240242	27316	-135963439	0.2
6293	-33240242	57062	-94548058	0.25
6293	-33240242	158293	-96216374	0.333333
6293	-33240242	389792	-131941040	0.2
6293	-33240242	29789	-175113898	0.2
6293	-33240242	201254	-79981290	0.2
6293	-33240242	23306	-57473074	0.2
6293	-33240242	2308	-41241234	0.2
6293	-33240242	29102	-31532782	0.333333
6293	-33240242	54927	-132767418	0.25
6293	-33240242	138429	-130693576	0.25
6293	-33240242	57532	-27621666	0.333333
6293	-33240242	5683	-42972305	0.5
6293	-33240242	154796	-112084543	0.5
6293	-33240242	2673	-69614886	0.333333
6293	-33240242	22995	-49103843	0.2
6293	-33240242	116412	-58892889	0.333333
6293	-33240242	163050	-12662856	0.25
6855	-49057161	57396	-178054554	0.2
6855	-49057161	55171	-186285643	0.2
6855	-49057161	5339	-145051413	0.2
6855	-49057161	27161	-141646145	0.2
6855	-49057161	10482	-62573464	0.2
6855	-49057161	51143	-32612891	0.2
6855	-49057161	549	-94124729	0.2
6855	-49057161	4005	-33914336	0.2
6855	-49057161	1060	-68411756	0.2
30844	-42265255	130557	-27603961	0.2
30844	-42265255	25994	-42846481	0.333333
30844	-42265255	23204	-18813346	0.25
30844	-42265255	11316	-19030706	1
30844	-42265255	1827	-35987941	0.25
30844	-42265255	1827	-35986944	0.2
30844	-42265255	2040	-124133082	0.2
30844	-42265255	2975	-27561751	0.2
30844	-42265255	285381	-16306996	0.333333
30844	-42265255	115509	-30622207	0.333333
30844	-42265255	10476	-73043574	0.25
9528	-54519679	2495	-61735632	0.2
9528	-54519679	10274	-136471745	0.333333
9528	-54519679	26224	-77601831	0.5
23761	-32027310	23310	-134094926	0.333333
23761	-32027310	23109	-49393588	0.2
23761	-32027310	160518	-31744164	0.333333
23761	-32034989	2319	-27225235	1
23761	-32027310	10235	-64512480	0.25
23761	-32027310	124093	-776973	0.5
23761	-32027310	148223	-1479728	0.2
23761	-32027310	23299	-95527583	0.25
23761	-32027310	14	-219135432	0.2
23761	-32027310	100526664	-160761767	0.5
51222	-21567491	4676	-3014107	0.25
1742	-7123869	100526761	-36872492	0.25
1742	-7123869	10767	-135376536	0.333333
